Date/Time,CoolingCoils:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly),Baseboard:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly),DistrictHeatingWater:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),Cooling:Electricity [J](Hourly)
 12/23  16:00:00,0.0,603406.2802060677,46366.27821589034,67550.3019332304,62718564.109415665,20087302.43403206,57561724.33350751,0.0,0.0
 12/23  17:00:00,0.0,1494997.8236877366,164241.83609169355,124096.5061601693,67752242.2999809,20261724.196134802,101391860.92448024,0.0,0.0
 12/23  18:00:00,0.0,2738258.3040485843,358428.3757339833,198233.31130292983,72927143.22919399,20530047.54091985,134489812.41613984,0.0,0.0
 12/23  19:00:00,0.0,4888667.302072135,618808.3241998532,297661.64208012656,77988729.6301577,20889855.820162915,145750925.9152608,0.0,0.0
 12/23  20:00:00,0.0,6635726.969151215,821408.0228732666,365811.86471623986,79757209.11679772,21160605.741472445,125262576.34630403,0.0,0.0
 12/23  21:00:00,0.0,8414722.641788607,1024634.9279850598,445679.6088304311,80485383.03484118,21443700.390698425,113137524.0207631,0.0,0.0
 12/23  22:00:00,0.0,9896887.11914662,1175387.790351044,503215.59448973293,79322141.46687612,21651989.238723718,101267970.83842929,0.0,0.0
 12/23  23:00:00,0.0,9945454.351907777,1188107.4371342077,501440.1234400199,73791174.45018657,21662933.414457165,88776912.85624005,0.0,0.0
 12/23  24:00:00,0.0,9568931.165310763,1163076.0106181423,485935.80804220866,67373792.49991614,21622397.672543287,79967426.20564026,0.0,0.0
 12/24  01:00:00,0.0,9454601.659851376,1153729.0865796194,478515.61086535046,62469947.03464267,21605630.55132791,74312081.4986832,0.0,0.0
 12/24  02:00:00,0.0,10211071.970416859,1212335.8607304841,499994.5078743591,61747436.06469529,21685716.222487785,73831113.73276508,0.0,0.0
 12/24  03:00:00,0.0,12039424.024253817,1345189.8693254583,553629.309264645,65341043.913325414,21872205.03247304,78441233.78534558,0.0,0.0
 12/24  04:00:00,0.0,14328857.785426138,1511463.8561790842,622541.1150030828,70652765.34872311,22107390.825065106,85828558.46420819,0.0,0.0
 12/24  05:00:00,0.0,17451157.230067447,1770403.9672774607,728497.5915401303,77143629.8460392,22472287.412700526,96020988.05905695,0.0,0.0
 12/24  06:00:00,0.0,20661887.06369409,2047364.6655142705,833191.0215081384,82996947.97452913,22853941.540905345,104735385.12562537,0.0,0.0
 12/24  07:00:00,0.0,23564765.292066123,2286409.4208946987,925286.3990755533,88053659.8385394,23185081.67385319,112135721.1702627,0.0,0.0
 12/24  08:00:00,0.0,26991563.737378784,2523964.1441448154,1021676.0802616351,93654181.88686453,23519026.07828939,120344840.27761167,0.0,0.0
 12/24  09:00:00,0.0,28623311.559250154,2635244.3049803437,1063756.5347848153,95559061.93929331,23672386.693648096,123343640.75509214,0.0,0.0
 12/24  10:00:00,0.0,21076484.059862945,2151632.3736867104,889271.5293712448,90394076.8763508,23014289.756940894,107236986.35488556,0.0,0.0
 12/24  11:00:00,0.0,13694019.54773475,1493898.8004440942,664074.6795482994,82926112.77840954,22131359.333875336,88079641.27829431,0.0,0.0
 12/24  12:00:00,0.0,7400879.496032568,820235.1028829654,363702.0722647487,75163211.79921025,21157323.02903065,62643976.34263619,0.0,0.0
 12/24  13:00:00,0.0,5483083.177489692,621070.2941389197,262819.7615020936,72323388.41528866,20857275.90952395,59903229.74997504,0.0,0.0
 12/24  14:00:00,0.0,5000867.886930613,578903.6159994804,238535.86967100023,73760186.02766691,20790825.33955342,65028607.9544298,0.0,0.0
 12/24  15:00:00,0.0,5604748.929497003,641609.0290208098,268952.60324457195,79678542.95669691,20883947.48614832,80847189.35534431,0.0,0.0
 12/24  16:00:00,0.0,8628074.855083667,890774.5405118908,378694.0730186562,88736929.39523853,21242854.46741348,108362612.18571746,0.0,0.0
